订单编号,日期,地区,城市,品类,销售员,客户类型,单价,数量,销售额,折扣率
SO-2025-01468,2025-05-01,华南,深圳,家居生活,刘敏,新客,1913.63,18.0,34445.34,0.0
SO-2025-03126,2025-05-18,华北,天津,办公用品,赵磊,新客,1260.78,17.0,21433.26,0.2901
SO-2025-00533,2025-01-14,华南,广州,办公用品,李娜,老客,504.44,6.0,3026.64,0.1621
SO-2025-03372,2025-06-20,西南,成都,家居生活,刘敏,老客,803.09,3.0,2409.27,0.0
SO-2025-01637,2025-05-03,东北,沈阳,数码配件,吴倩,老客,2401.04,6.0,14406.24,0.0
SO-2025-00992,2025-06-01,西南,重庆,数码配件,徐鹏,新客,485.62,17.0,8255.54,0.1472
SO-2025-02471,2025-04-05,西南,成都,办公用品,吴倩,新客,938.29,6.0,5629.74,0.0782
SO-2025-00195,2025-02-22,华东,杭州,数码配件,杨帆,老客,1509.06,18.0,27163.08,0.2536
SO-2025-02214,2025-03-13,东北,沈阳,办公用品,周涛,新客,2035.54,3.0,6106.62,0.0699
SO-2025-03799,2025-05-25,华东,南京,数码配件,周涛,新客,98.43,5.0,492.15,0.0632
SO-2025-03426,2025-04-26,华东,上海,数码配件,孙丽,老客,1991.07,12.0,23892.84,0.2693
SO-2025-04587,2025-03-08,东北,沈阳,办公用品,徐鹏,新客,144.16,14.0,2018.24,0.186
SO-2025-02039,2025-02-22,西南,重庆,办公用品,赵磊,老客,2214.17,4.0,8856.68,0.261
SO-2025-03058,2025-01-20,华东,上海,家居生活,张伟,老客,461.58,,,0.2087
SO-2025-03267,2025-04-19,西南,重庆,数码配件,赵磊,新客,950.78,15.0,14261.7,0.055
SO-2025-04436,2025-01-13,西南,重庆,家居生活,徐鹏,老客,1687.29,1.0,1687.29,0.0334
SO-2025-02000,2025-03-09,西南,,数码配件,孙丽,老客,2036.34,15.0,30545.1,0.1384
SO-2025-02740,2025-01-12,华东,杭州,办公用品,王强,新客,2616.05,15.0,39240.75,0.2301
SO-2025-01042,2025-06-05,华南,广州,办公用品,周涛,新客,2368.15,,,0.2804
SO-2025-02683,2025-02-06,华南,深圳,办公用品,黄霞,老客,895.65,11.0,9852.15,0.1734
SO-2025-02631,2025-05-11,华北,天津,办公用品,孙丽,老客,2794.23,12.0,33530.76,0.2264
SO-2025-01622,2025-06-24,西南,重庆,家居生活,杨帆,老客,700.65,4.0,2802.6,0.0482
SO-2025-02223,2025-04-17,华东,杭州,办公用品,杨帆,新客,1450.16,13.0,18852.08,0.1642
SO-2025-02557,2025-04-07,华东,南京,办公用品,李娜,老客,2439.95,1.0,2439.95,0.1956
SO-2025-01071,2025-03-22,华南,深圳,家居生活,周涛,新客,2536.21,4.0,10144.84,0.1541
SO-2025-03299,2025-06-08,华东,上海,家居生活,吴倩,新客,1124.27,11.0,12366.97,0.0654
SO-2025-00701,2025-06-02,华北,天津,家居生活,周涛,老客,2024.76,6.0,12148.56,0.2734
SO-2025-04509,2025-04-29,华北,天津,数码配件,孙丽,老客,2205.37,7.0,15437.59,0.1554
SO-2025-04258,2025-06-29,东北,沈阳,办公用品,周涛,老客,2332.0,16.0,37312.0,0.1688
SO-2025-01590,2025-03-24,华东,上海,数码配件,孙丽,老客,708.48,13.0,9210.24,0.2399
SO-2025-01277,2025-01-29,华东,上海,家居生活,刘敏,老客,1928.35,8.0,15426.8,0.0924
SO-2025-01694,2025-05-23,华南,深圳,数码配件,刘敏,老客,1245.54,13.0,16192.02,0.1141
SO-2025-00216,2025-04-25,华东,杭州,数码配件,李娜,新客,1962.04,20.0,39240.8,0.273
SO-2025-02689,2025-06-02,华北,北京,办公用品,周涛,新客,532.88,5.0,2664.4,0.2763
SO-2025-00939,2025-01-10,华东,上海,办公用品,陈静,新客,1735.0,4.0,6940.0,0.2442
SO-2025-01840,2025-04-07,华东,杭州,办公用品,黄霞,新客,2772.88,18.0,49911.84,0.0343
SO-2025-04909,2025-01-24,华东,南京,数码配件,周涛,新客,2730.41,19.0,51877.79,0.2177
SO-2025-01864,2025-03-16,华南,深圳,家居生活,徐鹏,老客,1367.57,20.0,27351.4,0.2892
SO-2025-03072,2025-02-18,西南,成都,数码配件,周涛,新客,469.87,20.0,9397.4,0.1191
SO-2025-04322,2025-03-01,华南,广州,家居生活,陈静,老客,1114.58,20.0,22291.6,0.034
SO-2025-03772,2025-04-17,华南,深圳,家居生活,吴倩,新客,988.15,7.0,6917.05,0.0141
SO-2025-02731,2025-06-05,华东,杭州,家居生活,李娜,新客,1507.46,13.0,19596.98,0.213
SO-2025-03330,2025-05-09,东北,大连,家居生活,黄霞,新客,2929.83,9.0,26368.47,0.0794
SO-2025-04113,2025-06-22,华北,天津,家居生活,张伟,老客,492.99,18.0,8873.82,0.1116
SO-2025-02008,2025-04-26,华东,杭州,数码配件,张伟,老客,2511.07,6.0,15066.42,0.2214
SO-2025-03874,2025-06-17,东北,大连,办公用品,吴倩,新客,2268.62,12.0,27223.44,0.2345
SO-2025-03551,2025-01-12,华北,北京,办公用品,周涛,新客,1342.44,8.0,10739.52,0.1244
SO-2025-04569,2025-03-07,华南,深圳,数码配件,李娜,老客,378.85,16.0,6061.6,0.0569
SO-2025-00615,2025-02-14,华南,广州,家居生活,孙丽,老客,2841.69,10.0,28416.9,0.0707
SO-2025-01528,2025-06-22,华东,南京,办公用品,周涛,新客,1287.91,13.0,16742.83,0.0477
SO-2025-01663,2025-01-20,华东,上海,数码配件,杨帆,老客,973.15,4.0,3892.6,0.2554
SO-2025-00567,2025-01-11,华东,杭州,数码配件,赵磊,老客,795.25,13.0,10338.25,0.2127
SO-2025-01734,2025-05-02,西南,成都,办公用品,刘敏,新客,1042.73,,,0.0
SO-2025-03546,2025-06-10,华北,天津,家居生活,李娜,新客,177.52,17.0,3017.84,0.1697
SO-2025-02108,2025-03-14,华北,北京,家居生活,徐鹏,新客,1288.64,9.0,11597.76,0.2223
SO-2025-02894,2025-01-21,东北,大连,数码配件,周涛,新客,1310.62,12.0,15727.44,0.21
SO-2025-03945,2025-03-03,西南,成都,办公用品,李娜,老客,731.44,3.0,2194.32,0.1611
SO-2025-00525,2025-02-18,华北,北京,数码配件,杨帆,老客,892.3,18.0,16061.4,0.0995
SO-2025-04728,2025-04-02,华南,广州,家居生活,赵磊,新客,537.36,8.0,4298.88,0.2839
SO-2025-04956,2025-04-01,西南,成都,办公用品,王强,新客,1187.78,5.0,5938.9,0.0207
SO-2025-02247,2025-03-28,华南,广州,家居生活,孙丽,新客,1786.61,,,0.0049
SO-2025-00936,2025-06-17,东北,大连,数码配件,陈静,老客,286.73,12.0,3440.76,0.0
SO-2025-03579,2025-06-20,华东,南京,家居生活,陈静,新客,229.1,11.0,2520.1,0.2166
SO-2025-00171,2025-04-12,华北,北京,办公用品,刘敏,老客,1240.53,14.0,17367.42,0.0
SO-2025-00238,2025-03-06,华东,杭州,办公用品,赵磊,老客,40.23,13.0,522.99,0.2926
SO-2025-00149,2025-01-28,华东,南京,数码配件,黄霞,老客,494.01,11.0,5434.11,0.2083
SO-2025-02423,2025-02-08,华东,南京,办公用品,黄霞,新客,271.23,3.0,813.69,0.0
SO-2025-04763,2025-02-16,华北,北京,办公用品,吴倩,老客,667.08,1.0,667.08,0.2886
SO-2025-03554,2025-04-11,华东,上海,办公用品,黄霞,老客,1530.31,5.0,7651.55,0.2844
SO-2025-03866,2025-03-14,华南,广州,办公用品,李娜,新客,1403.12,7.0,9821.84,0.1489
SO-2025-04306,2025-02-27,华北,天津,数码配件,徐鹏,新客,1380.68,12.0,16568.16,0.0117
SO-2025-00230,2025-01-09,华东,上海,数码配件,孙丽,老客,346.4,10.0,3464.0,0.1201
SO-2025-04333,2025-04-26,华北,天津,数码配件,张伟,新客,103.82,18.0,1868.76,0.2786
SO-2025-00766,2025-03-17,华东,南京,家居生活,杨帆,新客,1561.73,11.0,17179.03,0.1214
SO-2025-03292,2025-04-26,华南,广州,数码配件,李娜,老客,1465.09,15.0,21976.35,0.0957
SO-2025-02274,2025-01-27,西南,重庆,家居生活,王强,新客,2482.48,18.0,44684.64,0.0667
SO-2025-02992,2025-04-10,华东,杭州,家居生活,黄霞,老客,2965.5,2.0,5931.0,0.2713
SO-2025-04831,2025-05-16,华东,南京,数码配件,王强,老客,1753.05,8.0,14024.4,0.1049
SO-2025-03645,2025-01-31,华南,广州,数码配件,徐鹏,新客,1221.74,5.0,6108.7,0.0755
SO-2025-00678,2025-05-15,华东,上海,数码配件,王强,老客,2782.03,1.0,2782.03,0.2157
SO-2025-01606,2025-04-30,东北,大连,办公用品,李娜,老客,651.33,2.0,1302.66,0.0
SO-2025-01452,2025-01-17,西南,重庆,办公用品,孙丽,新客,1183.22,12.0,14198.64,0.1076
SO-2025-01265,2025-02-28,西南,成都,数码配件,陈静,新客,2488.61,16.0,39817.76,0.0326
SO-2025-04978,2025-02-26,西南,成都,家居生活,张伟,老客,352.14,7.0,2464.98,0.2258
SO-2025-04537,2025-04-01,西南,重庆,数码配件,王强,新客,1100.37,3.0,3301.11,0.1003
SO-2025-01848,2025-01-19,华北,北京,数码配件,杨帆,新客,495.39,15.0,7430.85,0.2901
SO-2025-00137,2025-03-23,华北,北京,家居生活,孙丽,新客,1368.26,7.0,9577.82,0.0374
SO-2025-00191,2025-01-10,华东,杭州,数码配件,周涛,新客,2050.96,6.0,12305.76,0.1764
SO-2025-02499,2025-05-24,华北,北京,数码配件,赵磊,新客,1926.77,5.0,9633.85,0.0
SO-2025-04591,2025-03-30,华北,天津,办公用品,黄霞,老客,1832.55,20.0,36651.0,0.0395
SO-2025-03238,2025-05-10,华北,北京,数码配件,刘敏,新客,2235.14,17.0,37997.38,0.1568
SO-2025-03930,2025-01-11,华北,天津,办公用品,孙丽,老客,1887.46,10.0,18874.6,0.1648
SO-2025-01073,2025-04-02,东北,沈阳,数码配件,孙丽,新客,2018.96,12.0,24227.52,0.2397
SO-2025-01416,2025-02-24,华北,天津,数码配件,张伟,老客,843.0,5.0,4215.0,0.2171
SO-2025-03478,2025-04-18,东北,沈阳,数码配件,孙丽,老客,2896.74,19.0,55038.06,0.2913
SO-2025-03849,2025-04-08,华东,杭州,家居生活,王强,新客,172.8,19.0,3283.2,0.1953
SO-2025-02288,2025-05-22,华东,上海,办公用品,张伟,新客,1080.11,2.0,2160.22,0.256
SO-2025-00279,2025-03-31,西南,重庆,数码配件,杨帆,老客,2027.99,20.0,40559.8,0.1725
SO-2025-03446,2025-04-29,华南,广州,家居生活,王强,老客,968.48,15.0,14527.2,0.1313
SO-2025-04348,2025-05-26,华北,天津,办公用品,黄霞,老客,946.77,4.0,3787.08,0.2335
SO-2025-00326,2025-01-04,西南,重庆,家居生活,李娜,新客,1674.11,14.0,23437.54,0.1762
SO-2025-01610,2025-05-08,华东,杭州,家居生活,黄霞,新客,1039.66,11.0,11436.26,0.1468
SO-2025-04256,2025-03-25,华东,南京,家居生活,李娜,新客,740.4,9.0,6663.6,0.2397
SO-2025-00773,2025-06-22,西南,成都,数码配件,刘敏,新客,2281.08,11.0,25091.88,0.2915
SO-2025-04781,2025-02-19,东北,沈阳,家居生活,孙丽,老客,2096.61,15.0,31449.15,0.1846
SO-2025-01320,2025-05-27,华北,天津,办公用品,张伟,老客,1781.52,2.0,3563.04,0.0914
SO-2025-03344,2025-02-07,华北,天津,办公用品,徐鹏,老客,2576.05,10.0,25760.5,0.2964
SO-2025-03633,2025-02-06,华北,天津,家居生活,黄霞,新客,2223.78,15.0,33356.7,0.0123
SO-2025-00607,2025-06-22,华东,杭州,家居生活,李娜,老客,288.71,10.0,2887.1,0.0868
SO-2025-00417,2025-02-14,西南,成都,办公用品,陈静,老客,527.99,5.0,2639.95,0.0879
SO-2025-01387,2025-06-06,华东,南京,数码配件,陈静,新客,1086.9,7.0,7608.3,0.1386
SO-2025-00474,2025-03-06,华东,杭州,家居生活,李娜,老客,2751.98,2.0,5503.96,0.0
SO-2025-02284,2025-03-08,华东,南京,数码配件,张伟,老客,1875.43,9.0,16878.87,0.2029
SO-2025-00650,2025-03-03,华北,天津,数码配件,孙丽,老客,688.54,2.0,1377.08,0.2541
SO-2025-01994,2025-03-22,华北,天津,办公用品,赵磊,新客,2048.71,4.0,8194.84,0.0672
SO-2025-04676,2025-05-09,华东,上海,数码配件,孙丽,老客,194.17,2.0,388.34,0.1418
SO-2025-00212,2025-06-28,华东,南京,数码配件,赵磊,老客,256.01,12.0,3072.12,0.1571
SO-2025-03908,2025-02-02,华北,北京,数码配件,陈静,新客,2063.76,15.0,30956.4,0.1881
SO-2025-02075,2025-05-16,华北,北京,数码配件,徐鹏,老客,276.87,20.0,5537.4,0.2943
SO-2025-02568,2025-04-06,华南,深圳,办公用品,刘敏,新客,2837.4,14.0,39723.6,0.0488
SO-2025-03387,2025-06-05,东北,大连,家居生活,徐鹏,新客,1547.53,15.0,23212.95,0.0509
SO-2025-02130,2025-06-18,华东,南京,家居生活,孙丽,老客,2120.65,6.0,12723.9,0.2149
SO-2025-00970,2025-01-06,华东,上海,数码配件,刘敏,新客,764.97,13.0,9944.61,0.2704
SO-2025-00758,2025-05-31,华东,杭州,家居生活,周涛,老客,2620.65,6.0,15723.9,0.1542
SO-2025-02072,2025-04-13,华东,杭州,数码配件,李娜,新客,2852.65,17.0,48495.05,0.1016
SO-2025-04088,2025-04-07,华东,上海,办公用品,李娜,新客,415.26,12.0,4983.12,0.1069
SO-2025-03953,2025-01-31,华南,深圳,办公用品,杨帆,新客,101.47,7.0,710.29,0.2797
SO-2025-04902,2025-02-13,华东,杭州,数码配件,赵磊,老客,2079.73,7.0,14558.11,0.16
SO-2025-00375,2025-03-28,华东,杭州,办公用品,刘敏,新客,2444.74,8.0,19557.92,0.1541
SO-2025-03603,2025-05-13,华东,杭州,数码配件,黄霞,老客,1347.32,1.0,1347.32,0.1602
SO-2025-00439,2025-06-20,华南,广州,数码配件,王强,老客,154.02,13.0,2002.26,0.0
SO-2025-02496,2025-06-03,华北,北京,办公用品,吴倩,老客,1201.44,16.0,19223.04,0.0
SO-2025-02548,2025-06-10,华东,上海,家居生活,周涛,老客,2632.28,6.0,15793.68,0.1204
SO-2025-02821,2025-06-27,华南,广州,数码配件,周涛,新客,2708.11,2.0,5416.22,0.1533
SO-2025-02455,2025-02-18,华北,北京,数码配件,周涛,老客,1819.72,7.0,12738.04,0.1288
SO-2025-04861,2025-03-17,西南,重庆,数码配件,刘敏,老客,974.73,12.0,11696.76,0.0535
SO-2025-03994,2025-04-21,华东,杭州,数码配件,王强,新客,2851.1,3.0,8553.3,0.2305
SO-2025-03999,2025-03-18,华东,南京,办公用品,徐鹏,老客,1710.62,12.0,20527.44,0.0
SO-2025-02427,2025-01-06,华南,深圳,办公用品,陈静,新客,1728.27,11.0,19010.97,0.0
SO-2025-01485,2025-02-02,华东,南京,数码配件,孙丽,老客,1018.28,6.0,6109.68,0.2946
SO-2025-00903,2025-03-27,华北,天津,家居生活,李娜,老客,2820.13,7.0,19740.91,0.1866
SO-2025-00577,2025-05-24,华南,广州,办公用品,吴倩,新客,2873.66,9.0,25862.94,0.0
SO-2025-00945,2025-02-25,华东,南京,办公用品,吴倩,新客,1091.19,19.0,20732.61,0.0328
SO-2025-02238,2025-05-20,华北,北京,数码配件,孙丽,新客,1550.43,1.0,1550.43,0.1999
SO-2025-01920,2025-02-10,华北,天津,办公用品,刘敏,新客,2683.74,14.0,37572.36,0.0122
SO-2025-00659,2025-05-27,华北,北京,办公用品,李娜,老客,836.58,17.0,14221.86,0.0
SO-2025-00206,2025-05-11,华东,南京,办公用品,吴倩,老客,1694.95,16.0,27119.2,0.0321
SO-2025-03116,2025-06-23,华东,杭州,办公用品,王强,新客,1003.96,20.0,20079.2,0.2699
SO-2025-02424,2025-06-23,东北,沈阳,办公用品,陈静,老客,2608.13,,,0.0931
SO-2025-03458,2025-06-27,华东,上海,数码配件,王强,老客,184.27,11.0,2026.97,0.0
SO-2025-04190,2025-01-17,华东,上海,办公用品,张伟,老客,1017.91,14.0,14250.74,0.2489
SO-2025-04034,2025-04-21,华东,杭州,办公用品,陈静,老客,2238.88,14.0,31344.32,0.0
SO-2025-03835,2025-04-07,华北,天津,办公用品,周涛,老客,1117.44,17.0,18996.48,0.0973
